Symbol,
HSY,
MDLZ,
RMCF,
TR,
KO,
PEP,
SODA,
DPS,
CAG,
GIS,
SBUX,
KHC,
SJM,
CCE,
UN,
DF,
SYUT,
DNKN,
MCD,
RRGB,
TSN,
CPB,
TR,
HRL,
MKC,
LANC,
BGS,
LNCE,
JBSS,
PF,
KKD,
SONC,
JACK,
WEN,
JMBA,
MNST,
FIZZ,
JJSF,
INGR,
RMCF,
WWAV,
FDP,
YUM,
CBO,
DENN,
POST,
